   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        5    0.000    0.000    0.001    0.000 <__array_function__ internals>:177(all)
        1    0.000    0.000    0.054    0.054 <__array_function__ internals>:177(allclose)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(amax)
       30    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(any)
     2087    0.004    0.000    0.065    0.000 <__array_function__ internals>:177(argsort)
       13    0.000    0.000    0.001    0.000 <__array_function__ internals>:177(array_equal)
        4    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(atleast_2d)
        2    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(bincount)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(broadcast_to)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(can_cast)
      160    0.000    0.000    0.001    0.000 <__array_function__ internals>:177(column_stack)
      208    0.000    0.000    0.009    0.000 <__array_function__ internals>:177(concatenate)
      129    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(copyto)
        6    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(delete)
      150    0.000    0.000    0.010    0.000 <__array_function__ internals>:177(diag)
      150    0.000    0.000    0.002    0.000 <__array_function__ internals>:177(diagonal)
      597    0.002    0.000    1.119    0.002 <__array_function__ internals>:177(dot)
        3    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(in1d)
      300    0.001    0.000    2.506    0.008 <__array_function__ internals>:177(inv)
        1    0.000    0.000    0.053    0.053 <__array_function__ internals>:177(isclose)
       30    0.000    0.000    0.001    0.000 <__array_function__ internals>:177(linspace)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(mean)
       30    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(ndim)
        2    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(nonzero)
       11    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(prod)
        6    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(putmask)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(repeat)
       31    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(result_type)
        3    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(setdiff1d)
        5    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(sort)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(tile)
      297    0.001    0.000    0.025    0.000 <__array_function__ internals>:177(transpose)
        4    0.000    0.000    0.004    0.001 <__array_function__ internals>:177(vstack)
        5    0.000    0.000    0.051    0.010 <__array_function__ internals>:177(where)
     1417    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap>:100(acquire)
    663/6    0.003    0.000    0.809    0.135 <frozen importlib._bootstrap>:1022(_find_and_load)
        8    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1038(_gcd_import)
1900/1428    0.004    0.000    0.582    0.000 <frozen importlib._bootstrap>:1053(_handle_fromlist)
     1417    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap>:125(release)
      663    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:165(__init__)
      663    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap>:169(__enter__)
      663    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:173(__exit__)
     1417    0.003    0.000    0.005    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
      661    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:198(cb)
      754    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:216(_lock_unlock_module)
    873/6    0.001    0.000    0.807    0.135 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
     5480    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:254(_requires_builtin_wrapper)
      653    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:357(__init__)
     1157    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap>:391(cached)
      984    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:404(parent)
      628    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:412(has_location)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:421(spec_from_loader)
      534    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:48(_new_module)
      628    0.003    0.000    0.014    0.000 <frozen importlib._bootstrap>:492(_init_module_attrs)
  628/626    0.001    0.000    0.037    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
    628/6    0.003    0.000    0.808    0.135 <frozen importlib._bootstrap>:664(_load_unlocked)
      661    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:71(__init__)
      650    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:746(find_spec)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:770(create_module)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:778(exec_module)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:795(is_package)
      646    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:826(find_spec)
     2606    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:893(__enter__)
     2606    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:897(__exit__)
      650    0.005    0.000    0.049    0.000 <frozen importlib._bootstrap>:921(_find_spec)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:968(_sanity_check)
    659/6    0.002    0.000    0.809    0.135 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
      534    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1040(__init__)
      534    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1065(get_filename)
      534    0.002    0.000    0.036    0.000 <frozen importlib._bootstrap_external>:1070(get_data)
      534    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1089(path_stats)
       89    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1163(__init__)
    89/88    0.000    0.000    0.021    0.000 <frozen importlib._bootstrap_external>:1174(create_module)
    89/58    0.000    0.000    0.034    0.001 <frozen importlib._bootstrap_external>:1182(exec_module)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1226(_find_parent_path_names)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1236(_get_parent_path)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1240(_recalculate)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1254(__iter__)
     5060    0.004    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
     5060    0.004    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:128(<listcomp>)
     1068    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
     2136    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
       68    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1343(_path_hooks)
     1070    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1356(_path_importer_cache)
  647/646    0.002    0.000    0.038    0.000 <frozen importlib._bootstrap_external>:1399(_get_spec)
     2487    0.001    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
      646    0.001    0.000    0.039    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
       68    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1494(__init__)
      925    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
      544    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1500(<genexpr>)
      623    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1531(_get_spec)
      960    0.008    0.000    0.032    0.000 <frozen importlib._bootstrap_external>:1536(find_spec)
       68    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1587(_fill_cache)
      856    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
       68    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1628(path_hook_for_FileFinder)
       69    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:164(_path_isdir)
      691    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
     1068    0.004    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:380(cache_from_source)
      623    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:510(_get_cached)
      534    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:542(_check_name_wrapper)
      534    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:585(_classify_pyc)
      534    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:618(_validate_timestamp_pyc)
      534    0.001    0.000    0.069    0.000 <frozen importlib._bootstrap_external>:670(_compile_bytecode)
      960    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:71(_relax_case)
      623    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:721(spec_from_file_location)
     1602    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
      534    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:874(create_module)
    534/6    0.001    0.000    0.808    0.135 <frozen importlib._bootstrap_external>:877(exec_module)
      534    0.004    0.000    0.120    0.000 <frozen importlib._bootstrap_external>:950(get_code)
       68    0.000    0.000    0.001    0.000 <frozen zipimport>:64(__init__)
        1    0.000    0.000    0.000    0.000 <string>:1(<lambda>)
